IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
18.216.126.131,4,4,0.00,229.64,0.00
3.18.225.231,4,4,0.00,230.43,0.00
35.154.110.69,4,4,0.00,236.37,0.00
13.201.221.231,4,4,0.00,329.75,0.00
3.108.117.25,4,4,0.00,348.34,0.00
75.2.32.4,4,4,0.00,377.72,0.00
3.76.252.221,4,4,0.00,406.82,0.00
3.124.236.70,4,4,0.00,438.68,0.00
3.76.179.225,4,4,0.00,446.86,0.00
3.122.86.99,4,4,0.00,476.57,0.00
52.30.132.114,4,4,0.00,483.80,0.00
13.53.206.75,4,4,0.00,486.13,0.00
3.253.73.50,4,4,0.00,488.25,0.00
18.168.114.50,4,4,0.00,489.31,0.00
3.76.252.221,4,4,0.00,521.58,0.00
54.194.162.247,4,4,0.00,526.71,0.00
3.8.4.143,4,4,0.00,541.30,0.00
52.29.224.33,4,4,0.00,547.12,0.00
52.28.142.187,4,4,0.00,569.05,0.00
13.51.55.31,4,4,0.00,574.14,0.00
52.28.84.2,4,4,0.00,575.96,0.00
16.171.88.61,4,4,0.00,577.91,0.00
3.120.8.31,4,4,0.00,578.12,0.00
3.8.127.70,4,4,0.00,582.22,0.00
3.75.170.179,4,4,0.00,599.50,0.00
16.16.241.162,4,4,0.00,605.19,0.00
52.58.248.166,4,4,0.00,613.34,0.00
3.11.162.221,4,4,0.00,616.13,0.00
18.153.244.138,4,4,0.00,628.87,0.00
52.210.95.132,4,4,0.00,645.07,0.00
13.51.36.15,4,4,0.00,647.24,0.00
35.157.121.50,4,4,0.00,658.05,0.00
35.157.121.50,4,4,0.00,659.02,0.00
63.33.125.145,4,4,0.00,696.01,0.00
99.83.209.185,4,3,0.25,653.83,0.00
